x_rot,y_rot,z_rot
260,0,0
260,5,0
260,10,0
260,15,0
260,20,0
260,25,0
260,30,0
260,35,0
260,40,0
260,45,0
260,50,0
260,55,0
260,60,0
260,65,0
260,70,0
260,75,0
260,80,0
260,85,0
260,90,0
260,95,0
260,100,0
260,105,0
260,110,0
260,115,0
260,120,0
260,125,0
260,130,0
260,135,0
260,140,0
260,145,0
260,150,0
260,155,0
260,160,0
260,165,0
260,170,0
260,175,0
260,180,0
260,185,0
260,190,0
260,195,0
260,200,0
260,205,0
260,210,0
260,215,0
260,220,0
260,225,0
260,230,0
260,235,0
260,240,0
260,245,0
260,250,0
260,255,0
260,260,0
260,265,0
260,270,0
260,275,0
260,280,0
260,285,0
260,290,0
260,295,0
260,300,0
260,305,0
260,310,0
260,315,0
260,320,0
260,325,0
260,330,0
260,335,0
260,340,0
260,345,0
260,350,0
260,355,0
