x_rot,y_rot,z_rot
235,0,0
235,5,0
235,10,0
235,15,0
235,20,0
235,25,0
235,30,0
235,35,0
235,40,0
235,45,0
235,50,0
235,55,0
235,60,0
235,65,0
235,70,0
235,75,0
235,80,0
235,85,0
235,90,0
235,95,0
235,100,0
235,105,0
235,110,0
235,115,0
235,120,0
235,125,0
235,130,0
235,135,0
235,140,0
235,145,0
235,150,0
235,155,0
235,160,0
235,165,0
235,170,0
235,175,0
235,180,0
235,185,0
235,190,0
235,195,0
235,200,0
235,205,0
235,210,0
235,215,0
235,220,0
235,225,0
235,230,0
235,235,0
235,240,0
235,245,0
235,250,0
235,255,0
235,260,0
235,265,0
235,270,0
235,275,0
235,280,0
235,285,0
235,290,0
235,295,0
235,300,0
235,305,0
235,310,0
235,315,0
235,320,0
235,325,0
235,330,0
235,335,0
235,340,0
235,345,0
235,350,0
235,355,0
