x_rot,y_rot,z_rot
330,0,0
330,5,0
330,10,0
330,15,0
330,20,0
330,25,0
330,30,0
330,35,0
330,40,0
330,45,0
330,50,0
330,55,0
330,60,0
330,65,0
330,70,0
330,75,0
330,80,0
330,85,0
330,90,0
330,95,0
330,100,0
330,105,0
330,110,0
330,115,0
330,120,0
330,125,0
330,130,0
330,135,0
330,140,0
330,145,0
330,150,0
330,155,0
330,160,0
330,165,0
330,170,0
330,175,0
330,180,0
330,185,0
330,190,0
330,195,0
330,200,0
330,205,0
330,210,0
330,215,0
330,220,0
330,225,0
330,230,0
330,235,0
330,240,0
330,245,0
330,250,0
330,255,0
330,260,0
330,265,0
330,270,0
330,275,0
330,280,0
330,285,0
330,290,0
330,295,0
330,300,0
330,305,0
330,310,0
330,315,0
330,320,0
330,325,0
330,330,0
330,335,0
330,340,0
330,345,0
330,350,0
330,355,0
